Date,GSCI,SP,Ratio
10/06/99,158.57,1302.82,0.121713974
11/06/99,161.49,1293.64,0.124834343
14/06/99,161.66,1294.00,0.124927975
15/06/99,161.69,1301.16,0.124264964
16/06/99,159.32,1330.41,0.119754437
17/06/99,159.99,1339.90,0.119406672
18/06/99,159.86,1342.84,0.119049328
21/06/99,158.31,1349.00,0.117352409
22/06/99,157.80,1335.88,0.118126254
23/06/99,160.25,1333.06,0.120209143
24/06/99,159.50,1315.78,0.121221329
25/06/99,159.62,1315.31,0.121355574
28/06/99,158.64,1331.35,0.119154843
29/06/99,159.79,1351.45,0.118233157
30/06/99,163.36,1372.71,0.119006928
01/07/99,162.65,1380.96,0.117780457
02/07/99,162.62,1391.22,0.116887552
06/07/99,161.57,1388.12,0.116393107
07/07/99,162.00,1395.86,0.116054762
08/07/99,162.19,1394.42,0.11631223
09/07/99,162.78,1403.28,0.116001938
12/07/99,162.92,1399.10,0.116449503
13/07/99,163.96,1393.56,0.117652344
14/07/99,163.67,1398.17,0.117061159
15/07/99,165.23,1409.62,0.1172162
16/07/99,165.87,1418.78,0.116913686
19/07/99,166.05,1407.65,0.117959152
20/07/99,162.83,1377.10,0.118241522
21/07/99,163.49,1379.29,0.118528953
22/07/99,165.91,1360.97,0.121908418
23/07/99,170.42,1356.94,0.125589857
26/07/99,169.34,1347.76,0.125648187
27/07/99,168.00,1362.84,0.123272358
28/07/99,168.81,1365.40,0.12363117
29/07/99,170.60,1341.03,0.127217288
30/07/99,169.17,1328.72,0.127319375
02/08/99,171.20,1328.05,0.128912692
03/08/99,170.92,1322.18,0.129270447
04/08/99,172.94,1305.33,0.132486421
05/08/99,173.63,1313.71,0.132170723
06/08/99,175.70,1300.29,0.135127241
09/08/99,177.69,1297.80,0.136912544
10/08/99,178.35,1281.43,0.139182632
11/08/99,178.75,1301.93,0.13729371
12/08/99,177.56,1298.16,0.136777901
13/08/99,178.93,1327.68,0.134768016
16/08/99,178.23,1330.77,0.133932986
17/08/99,179.92,1344.16,0.133852592
18/08/99,179.42,1332.84,0.134616833
19/08/99,181.11,1323.59,0.136834443
20/08/99,180.93,1336.61,0.135364991
23/08/99,181.40,1360.22,0.133358427
24/08/99,179.84,1363.50,0.131896296
25/08/99,176.44,1381.79,0.127687203
26/08/99,177.35,1362.01,0.130210204
27/08/99,178.12,1348.27,0.132107441
30/08/99,180.74,1324.02,0.136505189
31/08/99,181.62,1320.41,0.137551594
01/09/99,181.25,1331.07,0.136166693
02/09/99,178.25,1319.11,0.135125198
03/09/99,180.50,1357.24,0.132991144
07/09/99,184.87,1350.45,0.136898145
08/09/99,184.51,1344.15,0.137269501
09/09/99,187.80,1347.66,0.139356069
10/09/99,189.15,1351.66,0.139941479
13/09/99,190.31,1344.13,0.141583775
14/09/99,188.38,1336.29,0.140969924
15/09/99,187.63,1317.97,0.14236189
16/09/99,187.80,1318.48,0.142433712
17/09/99,188.77,1335.42,0.141354555
20/09/99,186.92,1335.53,0.139960989
21/09/99,186.52,1307.58,0.14264458
22/09/99,187.36,1310.51,0.142964342
23/09/99,191.76,1280.41,0.149761951
24/09/99,191.84,1277.36,0.150186322
27/09/99,192.47,1283.31,0.149978415
28/09/99,192.29,1282.20,0.149966542
29/09/99,192.98,1268.37,0.15215095
30/09/99,191.06,1282.71,0.148952608
01/10/99,191.07,1282.81,0.148949104
04/10/99,187.39,1304.60,0.143639123
05/10/99,185.69,1301.35,0.142689438
06/10/99,185.01,1325.40,0.139588803
07/10/99,182.04,1317.64,0.138157767
08/10/99,175.81,1336.02,0.131590171
11/10/99,178.08,1335.21,0.133370032
12/10/99,184.31,1313.04,0.140367696
13/10/99,187.73,1285.55,0.146028548
14/10/99,184.41,1283.42,0.143687491
15/10/99,186.54,1247.41,0.149539686
18/10/99,185.89,1254.13,0.148226101
19/10/99,185.54,1261.32,0.147103511
20/10/99,185.09,1289.43,0.143541487
21/10/99,185.60,1283.61,0.144593685
22/10/99,188.99,1301.65,0.145191104
25/10/99,188.40,1293.63,0.145634764
26/10/99,187.21,1281.91,0.146039426
27/10/99,186.52,1296.71,0.143842339
28/10/99,180.91,1342.44,0.13476282
29/10/99,181.39,1362.93,0.133088346
01/11/99,183.60,1354.12,0.135586063
02/11/99,182.79,1347.74,0.135626382
03/11/99,184.25,1354.93,0.135981859
04/11/99,185.93,1362.64,0.136449613
05/11/99,185.74,1370.23,0.135553447
08/11/99,186.29,1377.01,0.135283985
09/11/99,189.67,1365.28,0.138926447
10/11/99,191.75,1373.46,0.139608361
11/11/99,191.10,1381.46,0.138329304
12/11/99,193.84,1396.06,0.138847829
15/11/99,194.98,1394.39,0.139829746
